Perfil;Ancho;Alto;ColorVidrio;Acabado;Tarifa
7991;500;1000;SINVIDRIO;RECHAPADO;73,84
7991;500;2000;SINVIDRIO;RECHAPADO;101,48
7991;500;2500;SINVIDRIO;RECHAPADO;116,97
7991;600;500;SINVIDRIO;RECHAPADO;60,78
7991;600;1000;SINVIDRIO;RECHAPADO;76,27
7991;600;2000;SINVIDRIO;RECHAPADO;103,91
7991;600;2500;SINVIDRIO;RECHAPADO;119,40
7991;400;500;TRANSPARENTE;LACADO;122,96
7991;400;1000;TRANSPARENTE;LACADO;147,44
7991;400;2000;TRANSPARENTE;LACADO;179,50
7991;400;2500;TRANSPARENTE;LACADO;202,29
7991;500;500;TRANSPARENTE;LACADO;127,85
7991;500;1000;TRANSPARENTE;LACADO;154,98
7991;500;2000;TRANSPARENTE;LACADO;191,31
7991;500;2500;TRANSPARENTE;LACADO;216,53
7991;600;500;TRANSPARENTE;LACADO;132,74
7991;600;1000;TRANSPARENTE;LACADO;162,52
7991;600;2000;TRANSPARENTE;LACADO;203,11
7991;600;2500;TRANSPARENTE;LACADO;230,76
7991;400;500;TRANSPARENTE;ANODIZADO;125,58
7991;400;1000;TRANSPARENTE;ANODIZADO;151,51
7991;400;2000;TRANSPARENTE;ANODIZADO;186,49
7991;400;2500;TRANSPARENTE;ANODIZADO;210,73
7991;500;500;TRANSPARENTE;ANODIZADO;130,76
7991;500;1000;TRANSPARENTE;ANODIZADO;159,35
7991;500;2000;TRANSPARENTE;ANODIZADO;198,59
7991;500;2500;TRANSPARENTE;ANODIZADO;225,26
7991;600;500;TRANSPARENTE;ANODIZADO;135,94
7991;600;1000;TRANSPARENTE;ANODIZADO;167,18
7991;600;2000;TRANSPARENTE;ANODIZADO;210,68
7991;600;2500;TRANSPARENTE;ANODIZADO;239,79
7991;400;500;TRANSPARENTE;RECHAPADO;130,06
7991;400;1000;TRANSPARENTE;RECHAPADO;158,49
7991;400;2000;TRANSPARENTE;RECHAPADO;198,44
7991;400;2500;TRANSPARENTE;RECHAPADO;225,18
7991;500;500;TRANSPARENTE;RECHAPADO;135,74
7991;500;1000;TRANSPARENTE;RECHAPADO;166,82
7991;500;2000;TRANSPARENTE;RECHAPADO;211,04
7991;500;2500;TRANSPARENTE;RECHAPADO;240,21
7991;600;500;TRANSPARENTE;RECHAPADO;141,42
7991;600;1000;TRANSPARENTE;RECHAPADO;175,15
7991;600;2000;TRANSPARENTE;RECHAPADO;223,64
7991;600;2500;TRANSPARENTE;RECHAPADO;255,23
7991;400;500;COLORMIX01;LACADO;128,60
7991;400;1000;COLORMIX01;LACADO;158,72
7991;400;2000;COLORMIX01;LACADO;199,64
7991;400;2500;COLORMIX01;LACADO;227,46
7991;500;500;COLORMIX01;LACADO;134,90
7991;500;1000;COLORMIX01;LACADO;169,09
7991;500;2000;COLORMIX01;LACADO;216,48
7991;500;2500;COLORMIX01;LACADO;247,99
7991;600;500;COLORMIX01;LACADO;141,20
7991;600;1000;COLORMIX01;LACADO;179,45
7991;600;2000;COLORMIX01;LACADO;233,32
7991;600;2500;COLORMIX01;LACADO;268,52
7991;400;500;COLORMIX01;ANODIZADO;131,22
7991;400;1000;COLORMIX01;ANODIZADO;162,80
7991;400;2000;COLORMIX01;ANODIZADO;206,63
7991;400;2500;COLORMIX01;ANODIZADO;235,91
7991;500;500;COLORMIX01;ANODIZADO;137,81
7991;500;1000;COLORMIX01;ANODIZADO;173,45
7991;500;2000;COLORMIX01;ANODIZADO;223,76
7991;500;2500;COLORMIX01;ANODIZADO;256,73
7991;600;500;COLORMIX01;ANODIZADO;144,41
7991;600;1000;COLORMIX01;ANODIZADO;184,11
7991;600;2000;COLORMIX01;ANODIZADO;240,89
7991;600;2500;COLORMIX01;ANODIZADO;277,55
7991;400;500;COLORMIX01;RECHAPADO;135,70
7991;400;1000;COLORMIX01;RECHAPADO;169,77
